site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_i,conus1_j,conus2_i,conus2_j,usda_elevation
654:ID:SNTL,Mud Flat,SNOTEL station,NRCS,ID,42.6004,-116.55925,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17050104,218.0,1192.0,675.0,2137.0,5730.0
655:OR:SNTL,Mud Ridge,SNOTEL station,NRCS,OR,45.25362,-121.73673,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17080001,,,368.0,2520.0,4070.0
656:MT:SNTL,Mule Creek,SNOTEL station,NRCS,MT,45.40957,-112.95927,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10020004,564.0,1438.0,1013.0,2370.0,8300.0
1053:ID:SNTL,Myrtle Creek,SNOTEL station,NRCS,ID,48.72263,-116.46312,2003-10-01,2026-01-24,8152,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010104,378.0,1854.0,841.0,2773.0,3520.0
657:MT:SNTL,N Fk Elk Creek,SNOTEL station,NRCS,MT,46.8716,-113.27725,1967-10-01,2026-01-24,21301,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010203,570.0,1602.0,1021.0,2528.0,6250.0
658:CO:SNTL,Nast Lake,SNOTEL station,NRCS,CO,39.29695,-106.60786,1985-10-01,2026-01-24,14726,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010004,977.0,690.0,1406.0,1641.0,8731.0
1138:NM:SNTL,Navajo Whiskey Ck,SNOTEL station,NRCS,NM,36.17716,-108.94556,2009-05-13,2026-01-24,6101,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14080204,729.0,375.0,1163.0,1333.0,9064.0
903:MT:SNTL,Nevada Ridge,SNOTEL station,NRCS,MT,46.84234,-112.50787,1994-07-07,2026-01-24,11525,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010203,627.0,1588.0,1076.0,2514.0,7020.0
1031:CO:SNTL,Never Summer,SNOTEL station,NRCS,CO,40.40392,-105.95567,2002-10-01,2026-01-24,8517,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10180001,1046.0,806.0,1474.0,1753.0,10323.0
660:OR:SNTL,New Crescent Lake,SNOTEL station,NRCS,OR,43.51185,-121.97982,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17070302,,,293.0,2348.0,4910.0
661:WY:SNTL,New Fork Lake,SNOTEL station,NRCS,WY,43.11265,-109.94947,1985-10-01,2026-01-24,14726,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14040102,757.0,1146.0,1196.0,2086.0,8340.0
662:MT:SNTL,Nez Perce Camp,SNOTEL station,NRCS,MT,45.73107,-114.48075,1976-10-01,2026-01-24,18013,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010205,454.0,1496.0,908.0,2427.0,5650.0
663:CO:SNTL,Niwot,SNOTEL station,NRCS,CO,40.03581,-105.5452,1980-10-01,2026-01-24,16552,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10190005,1076.0,761.0,1503.0,1710.0,9979.0
