site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
772:WY:SNTL,South Brush Creek,WY,41.3295,-106.5025,2589.2760000000003,0.8634908739114239,-94.60058227594162
775:WY:SNTL,South Pass,WY,42.57317,-108.84325,2755.3920000000003,-0.0313315077408449,-38.62212598425197
779:WY:SNTL,Spring Creek Divide,WY,42.52516,-110.66148,2743.2000000000003,-0.6450457350631085,-14.257250424082846
786:WY:SNTL,St. Lawrence Alt,WY,43.03313,-109.17025,2627.376,0.0880868864680591,-39.993971759116704
798:WY:SNTL,Sucker Creek,WY,44.7225,-107.40033,2706.6240000000003,-0.2340894189212102,-82.46293826463874
806:WY:SNTL,Sylvan Lake,WY,44.47764,-110.15651,2566.416,0.2695434827831277,-46.31906463353712
807:WY:SNTL,Sylvan Road,WY,44.47825,-110.03808,2170.176,0.7919129846176024,-59.45635563773152
816:WY:SNTL,Thumb Divide,WY,44.36917,-110.57717,2432.304,-0.6148502444310672,-42.30134175768352
818:WY:SNTL,Tie Creek,WY,44.81243,-107.41017,2093.976,-0.1190330512191551,-57.005522309711274
819:WY:SNTL,Timber Creek,WY,44.0274,-109.17879,2423.1600000000003,-0.6088590049029458,-58.64351403718515
822:WY:SNTL,Togwotee Pass,WY,43.74902,-110.0578,2919.984,0.1719889617126031,-26.767774554496476
826:WY:SNTL,Townsend Creek,WY,42.69525,-108.89572,2651.76,-0.1451085693413016,-36.727867716535435
837:WY:SNTL,Two Ocean Plateau,WY,44.15178,-110.22122,2816.3520000000003,-0.5168213510502527,-32.7689919575561
852:WY:SNTL,Webber Springs,WY,41.1591,-106.92809,2822.4480000000003,0.93580973272605,-44.6608804770116
859:WY:SNTL,Whiskey Park,WY,41.00368,-106.90795,2749.2960000000003,0.4783751582440704,-16.769940325255952
868:WY:SNTL,Willow Creek,WY,42.81513,-110.83515,2462.784,0.5587437346634845,-44.44415478615071
872:WY:SNTL,Windy Peak,WY,42.27991,-105.57782,2412.492,0.2435009399919653,-52.89078261978386
878:WY:SNTL,Younts Peak,WY,43.93225,-109.81775,2545.08,-0.4844804420422147,-68.96499261811023
